Customer Id,Forename,Surname,Age,Income,Debt,Creditscore,Company Name,Addressline,City,Postcode,Phone,Additional Information
C000030,John,Hewston,07-Oct-88,3754,,,Aircommand Airtechnics Ltd.,DIT Financial Management,Holywell,BN20 7MQ,140-865-4731,
C000031,Allen,Jones,07-Jul-80,2863,,,"Ambac Financial Group, Inc.",5 rue des Grands pr�s,Brabster,KW1 9BY,165-034-4323,
C000051,Keeley,Mundy,13-Oct-74,871,,,America's Second Harvest,7 Kripes Road,Miserden,GL60GE,165-031-2618,k_mundy@americasseco.com
C000065,Christopher,Leyland,17-May-86,1284,,,American Chemical Society,52 avenue des Champs Pierreux,Stirchley,B30 4KC,180-595-5110,chrleyland5@amrknxmklsst.com
C000066,Melvyn,Bridgewater,27-Sep-95,0,11.5,11,A T Clayton & Co Inc.,2003 RAMPART DR,Fundenhall,NR16 4VC,440-208-6958,
C000076,Louise,Morlidge,18-Dec-63,21,,,Annur Satya Textile Ltd.,Postbus 155,Lower Oakfield,KY4 1QJ,161-749-1143,lou.morlidge0@annurs.com
C000078,Mary,Hastings,23-Jun-56,4576,,,AMIS,50 boulevard de Sebastopol,Upper Street,sp6 5gf,130-373-7274,
C000086,Elsie,Vanstone,02-May-69,2743,,,Asian Knitwears Ltd. [merged],Mail Code 4-215,Bearnie,ab41 2qv,506-201-5182,elsie.vanstone3@asianknitwea.com
C000115,Joyce,Barnsley,24-Sep-66,2047,,,Alang Industrial Gases Ltd.,Postbus 440,Rosyth,KY11 3PN,120-655-4527,
C000153,James,Bray,27-Sep-59,1602,10,14,A S R Multimetals Pvt. Ltd.,432 Dual street,Goathland,YO22-1BZ,210-555-1247,
C000157,Jane,Taylor,18-Jul-70,1965,,,Arrive AS,639 Loyola Ave.,Stanford Le Hope,ss177rv,150-256-8723,jan.taylor1@arrive.com
C000158,Robert,Thorp,27-Sep-68,5000,7.585,15,A E C Cements & Constructions Ltd.,1721 11th Ave,Mains Of Dudwick,AB416DE,713-555-2657,
C000168,William,Penrose,11-Nov-92,4537,,,Arkema,3375 Mitchell Lane,Mollance,dg7 8nc,191-859-0399,
C000179,James,Lipton,27-Nov-55,238,,,Al-amanat Finance & Capital Services Ltd.,3050 Chain Bridge Rd,Pen Y Fai,CF31 3YS,165-027-0174,jamlipton0@alaman.com
C000192,Oswald,Tubbs,14-May-75,4801,,,Ajanta India Ltd.,"Plot 22B, Sector 18",Roughton,WV15 1QR,142-594-5524,
C000206,Barry,Williams,27-Sep-77,1200,21.5,11,Aarman Software Pvt. Ltd.,1102 WALTON LN,Perceton,ka11 6em,012-755-6498,
C000210,Mary,Mortimer,27-Sep-01,0,2.875,0,Abc Manufacturing,"26 Green Lane, Woodcote",Hertingfordbury,sg14 0jc,713-555-3901,mmortimer@abcman.com
C000222,Eric,Homer,19-Feb-00,4243,,,Ash City,Postfach,Much Wenlock,TF13 4MT,181-397-8765,e_homer4@ashcity.com
C000255,Ian,Chetland,24-Oct-92,4514,,,Arsi Cosmetics & Chemicals Ltd.,"30, rue de Cambrai",Eamont Bridge,ca10 5my,864-281-2287,ian.chetland@arsksm.com
C000263,David,Jones,27-Sep-82,0,3.165,0,Actelion,Cloister Court,Llangadfan,SY217TH,020-422-7392,davjones@actelion.com
C000277,Clive,East,02-Nov-99,4045,,,Advocare,P.O. Box 51040,Rait,PH22IM,180-177-8836,
C000279,Anita,Howell,07-Mar-81,1947,,,"Americo Life, Inc.",675 N Field Dr,Handcross,RH17 9FE,191-646-3198,anitahowell1@americ.com
C000280,Philip,Nixon,12-Oct-89,1788,,,Affiniti,9360 Towne Centre Dr.,Longnewton,td6 6wh,192-584-7620,phi.nixon2@afnt.com
C000286,Dhirubhai,Patel,03-Sep-98,669,,,A B M Knowledgeware Ltd.,825 DULANEY VALLEY ROAD,Dagnall,HP49PB,301-555-9934,
C000288,Scott,Sibson,18-Mar-56,794,,,Amvescap,15000 Conference Center Dr,West Park,wa10 3la,141-553-6354,
C000295,Allan,Jones,16-Aug-74,846,,,Alliance Infrastructure & Logistics Ltd.,1800 North Point Dr.,London,WC1B 0QY,141-522-2195,a_jones1@all.com
