Customer Id,Discount Code,Company Name,Addressline,Forename,Surname,City,Postcode,Phone,Additional Information,Credit Limit
C020135,N,"\BGE, Ltd.",111 E. Las Olas Blvd,Henry,Weston,West Bergholt,CO6 4ML,305-777-4632,,100000
C008431,M,1-2-1 Euro Technology Ltd,9754 Main Street,Neal,Bailey,Beer,EX127EM,305-456-8888,,50000
C037077,M,13 Views Cocktail Lounge,8989 Qume Drive,Mohanbhai,Patel,Forncett End,NR16 7EN,214-999-1234,moh_patel@viewsc.com,25000
C027551,L,14552 Canada Inc,8585 Murray Drive,Mohinder,Kapoor,Little Compton,GL56 3II,555-275-9900,mkapoor@kntnk.com,90000
C011056,H,1800 Contacts,65653 El Camino,Paul,Evans,Pirton,wr80do,650-456-8876,p.evans8@1800contacts.com,65000
C040045,L,"1-800-Flowers.com, Inc.",829 Flex Drive,Jacqueline,Duncombe,Almington,tf9 2li,408-987-1256,,26500
C049688,L,181 Club,4381 Kelly Ave,Sandra,Charles Holmes,Horsley Cross,co11 0sl,408-432-6868,scharles holmes@klp.com,70000
C028633,N,18th Step Resorts Pvt. Ltd.,456 4th Street,Jonathan,Hurst,Winterbourne,BS36 0XV,650-345-5656,jhurst@thstep.com,25000
C026098,L,1969 Enterprises,88 North Drive,Marjorie,Roberts,Fenton,PE172XX,313-563-9900,mar.roberts0@ntrprs.com,100000
C045828,H,1st Io Command,2267 Michigan Ave,David,Jones,Tetbury,GL8-1NC,313-787-2100,dav_jones@stkmnt.com,5000000
C017922,N,1st Point Inc.,52963 Outer Dr,Kundan,Samra,Col,HS2-4MN,313-788-7682,kun.samra@1stpointinc.com,50000
C029192,L,1st Silicon (M) Sdn Bhd,4400 22nd Street,Mark,Twynam,Eaton,SY9-8OF,212-222-5656,martwynam3@sts.com,10000
C045037,M,1st Source Corporation,9653 33rd Ave,Philip,Jones,Little Bentley,CO7 6WG,212-535-7000,p.jones@sts.com,25000
C030552,N,20 Microns Ltd.,1115 ROBBIE ST,Sharon,Johns,Upton Bishop,hr9 1dd,014-891-8999,s_johns@mkrnsl.com,14000
C040111,H,20th Century Engineering Ltd.,17040 Plymouth Rd,Brian,Dudley,Thornhill,S30 7FU,017-701-2151,,10200000
